# Server version 0.08 running on web010065.wireless.mcgill.ca:8123
# Game ID: 11
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Fri Apr 01 09:51:06 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260531701', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260531701
PIT 0 22
PIT 1 0
PIT 0 0
PIT 1 22
PIT 0 7
PIT 1 26
PIT 0 18
PIT 1 29
PIT 0 26
PIT 1 16
PIT 0 29
PIT 1 21
PIT 0 0
PIT 1 17
PIT 0 30
PIT 1 26
PIT 0 9
PIT 1 24
PIT 0 4
PIT 1 10
PIT 0 6
PIT 1 22
PIT 0 12
PIT 1 13
PIT 0 15
PIT 1 28
PIT 0 7
PIT 1 24
GAMEOVER WINNER 1
# Game ended: Fri Apr 01 09:51:06 EDT 2016
