# Server version 0.08 running on wpa180018.wireless.mcgill.ca:8123
# Game ID: 23
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Mar 26 18:18:29 EDT 2016
# Player 1: Player-0, 'Human', running on wpa180018.wireless.mcgill.ca
# Player 2: Player-1, '260531701', running on wpa180018.wireless.mcgill.ca
START Player-0 Human
START Player-1 260531701
PIT 0 20
PIT 1 0
PIT 0 12
PIT 1 1
PIT 0 13
PIT 1 3
PIT 0 15
PIT 1 5
GAMEOVER USER CANCEL UNDECIDED
# Game ended: Sat Mar 26 18:20:21 EDT 2016
