# Server version 0.08 running on 172.31.171.90:8123
# Game ID: 25
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sat Mar 26 21:37:10 EDT 2016
# Player 1: Player-0, 'Human', running on 172.31.171.90
# Player 2: Player-1, 'RandomHusPlayer', running on 172.31.171.90
START Player-0 Human
START Player-1 RandomHusPlayer
PIT 0 0
PIT 1 3
PIT 0 22
PIT 1 6
PIT 0 24
PIT 1 16
PIT 0 18
PIT 1 24
PIT 0 29
PIT 1 12
PIT 0 19
PIT 1 23
PIT 0 0
PIT 1 21
PIT 0 23
PIT 1 0
PIT 0 26
PIT 1 25
PIT 0 27
PIT 1 20
PIT 0 25
PIT 1 18
PIT 0 28
PIT 1 22
PIT 0 16
PIT 1 23
PIT 0 17
PIT 1 13
PIT 0 20
PIT 1 4
PIT 0 19
PIT 1 7
PIT 0 18
PIT 1 29
PIT 0 26
PIT 1 31
PIT 0 30
PIT 1 0
PIT 0 20
PIT 1 30
PIT 0 11
PIT 1 1
PIT 0 14
PIT 1 10
PIT 0 31
PIT 1 8
PIT 0 26
PIT 1 2
PIT 0 4
PIT 1 14
PIT 0 25
PIT 1 11
PIT 0 17
PIT 1 6
PIT 0 22
PIT 1 4
PIT 0 23
PIT 1 13
PIT 0 11
PIT 1 7
PIT 0 24
PIT 1 16
PIT 0 27
PIT 1 3
PIT 0 26
PIT 1 12
PIT 0 19
PIT 1 5
PIT 0 23
PIT 1 11
PIT 0 25
PIT 1 14
PIT 0 28
PIT 1 10
PIT 0 17
GAMEOVER WINNER 0
# Game ended: Sat Mar 26 21:56:30 EDT 2016
