# Server version 0.08 running on 172.31.161.212:8123
# Game ID: 62
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Sun Apr 03 00:00:11 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260531701', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260531701
PIT 0 0
PIT 1 0
PIT 0 12
PIT 1 19
PIT 0 1
PIT 1 21
PIT 0 13
PIT 1 28
PIT 0 14
PIT 1 25
PIT 0 15
PIT 1 24
PIT 0 16
PIT 1 16
PIT 0 29
PIT 1 28
PIT 0 7
PIT 1 23
PIT 0 28
PIT 1 17
PIT 0 26
PIT 1 18
PIT 0 0
PIT 1 15
PIT 0 25
PIT 1 19
PIT 0 1
PIT 1 17
PIT 0 30
PIT 1 14
PIT 0 19
PIT 1 18
GAMEOVER WINNER 1
# Game ended: Sun Apr 03 00:00:11 EDT 2016
