# Server version 0.08 running on 172.16.131.1:8123
# Game ID: 89
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Tue Apr 05 23:13:58 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260531701', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260531701
PIT 0 7
PIT 1 4
PIT 0 20
PIT 1 20
PIT 0 4
PIT 1 19
PIT 0 10
PIT 1 25
PIT 0 21
PIT 1 21
PIT 0 14
PIT 1 17
PIT 0 1
PIT 1 22
PIT 0 0
PIT 1 30
PIT 0 4
PIT 1 29
PIT 0 25
PIT 1 16
PIT 0 18
PIT 1 14
PIT 0 28
PIT 1 28
PIT 0 31
PIT 1 13
PIT 0 0
PIT 1 15
GAMEOVER WINNER 1
# Game ended: Tue Apr 05 23:13:58 EDT 2016
