# Server version 0.08 running on 172.31.175.67:8123
# Game ID: 227
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Wed Apr 06 23:37:19 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260531701', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260531701
PIT 0 2
PIT 1 21
PIT 0 12
PIT 1 0
PIT 0 11
PIT 1 1
PIT 0 0
PIT 1 3
PIT 0 21
PIT 1 5
PIT 0 15
PIT 1 6
PIT 0 27
PIT 1 7
PIT 0 1
PIT 1 8
PIT 0 31
PIT 1 12
PIT 0 22
PIT 1 13
PIT 0 26
PIT 1 18
PIT 0 13
PIT 1 21
PIT 0 31
PIT 1 2
PIT 0 29
PIT 1 3
PIT 0 8
PIT 1 6
PIT 0 0
PIT 1 7
PIT 0 28
PIT 1 8
PIT 0 23
PIT 1 9
PIT 0 7
PIT 1 10
PIT 0 17
PIT 1 23
PIT 0 12
GAMEOVER WINNER 0
# Game ended: Wed Apr 06 23:37:21 EDT 2016
