# Server version 0.08 running on 192.168.0.103:8123
# Game ID: 558
# Board class: hus.HusBoard
# Timeout: 2000
# First Move Timeout: 30000
# Date: Thu Apr 07 22:53:37 EDT 2016
# Player 1: Player-0, 'RandomHusPlayer', running on localhost
# Player 2: Player-1, '260531701', running on localhost
START Player-0 RandomHusPlayer
START Player-1 260531701
PIT 0 2
PIT 1 23
PIT 0 23
PIT 1 20
PIT 0 11
PIT 1 17
PIT 0 0
PIT 1 18
PIT 0 8
PIT 1 20
PIT 0 20
PIT 1 11
PIT 0 1
PIT 1 14
PIT 0 17
PIT 1 29
GAMEOVER WINNER 1
# Game ended: Thu Apr 07 22:53:45 EDT 2016
